layer,property,halogen,n_layers,n_experiments,mean_of_means,std_of_means,mean_of_stds,min_mean,max_mean
Layer 3,zeta,Cl,3,22,0.37632489385620355,0.1150235339839142,0.034702032559524136,0.18056488292395612,0.67731284121857
Layer 3,zeta,Br,3,23,0.226224186287272,0.09341782557348566,0.030199914240531502,0.07832672745945346,0.41958415045008013
Layer 3,zeta,I,3,21,0.21314218850925862,0.04893765233235368,0.014071949771704657,0.15647462001364487,0.35635221382789584
Layer 3,delta,Cl,3,22,0.0008751138635746597,0.0005118643266692431,0.0001329113367180888,0.00018174307185745905,0.002382643481369654
Layer 3,delta,Br,3,23,0.00029084396555436644,0.00026799141568914264,5.8383681118911136e-05,2.4873236692683815e-05,0.0009808779603955138
Layer 3,delta,I,3,21,0.00018361238592250241,0.00011620460508862814,2.559734166318319e-05,9.387213669595983e-05,0.0006090679868201763
Layer 3,sigma,Cl,3,22,62.761055236800146,15.422812676731663,6.019650279158301,36.236778730838104,95.61919887406967
Layer 3,sigma,Br,3,23,58.01537478889656,17.234422816195593,4.396849497924319,32.53137766388076,94.39119454683626
Layer 3,sigma,I,3,21,42.151423860857506,5.736350275110085,1.3311348855623215,37.62700194215797,64.01854527115404
Layer 3,theta_mean,Cl,3,22,193.45299545713615,49.7488326830225,21.210437028686417,121.74084875807493,305.8374213096357
Layer 3,theta_mean,Br,3,23,176.3797685330694,62.866188896992746,16.44287515739092,76.54380276120025,329.2654789110545
Layer 3,theta_mean,I,3,21,112.12262923244494,16.55888024865727,6.399214519377766,85.9596705896415,162.9011024945297
Layer 3,theta_min,Cl,3,22,147.6242078675934,38.10832192758633,13.870147658216863,92.43848543310179,243.41197229374782
Layer 3,theta_min,Br,3,23,139.8725821442599,50.96882599898752,13.694402390774327,61.115875432240585,260.6707540851216
Layer 3,theta_min,I,3,21,89.65678195134184,14.914428616210028,5.945377622974016,65.54215940392159,138.02512334839963
Layer 3,theta_max,Cl,3,22,239.28178304667892,64.37386337698173,30.371147721718298,142.29651450926286,368.26287032552364
Layer 3,theta_max,Br,3,23,212.88695492187892,75.21626020582421,22.28881132705687,91.97173009015992,397.8602037369875
Layer 3,theta_max,I,3,21,134.58847651354802,20.28516485451045,7.282394577777777,100.38989904665216,187.77708164065973
Layer 3,mean_bond_distance,Cl,3,22,2.8591509926200263,0.01548374632115696,0.002485670604011311,2.834534145973478,2.901439544646127
Layer 3,mean_bond_distance,Br,3,23,3.023494546088576,0.009459833297367236,0.0016707007628142135,3.007928571200698,3.050855937151347
Layer 3,mean_bond_distance,I,3,21,3.1952410573364305,0.012503903628522627,0.001236047055959842,3.1637731908695867,3.230356421876965
Layer 3,bond_distance_variance,Cl,3,22,0.007176691959006406,0.004273916064591641,0.001089285579739645,0.0014837915782084745,0.0200615751316171
Layer 3,bond_distance_variance,Br,3,23,0.0026687026368576645,0.0024798547722495686,0.0005348891533786169,0.0002274384676891739,0.009129812565252981
Layer 3,bond_distance_variance,I,3,21,0.001878037704413864,0.001208486958902173,0.00026157904345049506,0.000966496085428048,0.006348835271221964
Layer 3,octahedral_volume,Cl,3,22,30.478409090909086,0.5584361377216023,0.17477272727272722,29.744999999999997,31.54
Layer 3,octahedral_volume,Br,3,23,36.249782608695654,0.40839062812256,0.07195652173913049,35.370000000000005,36.97
Layer 3,octahedral_volume,I,3,21,43.1304761904762,0.5456553508440661,0.047142857142857236,41.845,44.535
