angle,ideal_angle,extracted_angle,error
N1-C1-C2,111.83570328964315,112.17114671332187,0.3354434236787256
C1-C2-C3,111.47457652382523,115.67566720505626,4.2010906812310225
C2-C3-C4,112.83904502684932,109.16553160655019,3.6735134202991304
C3-C4-C5,121.13173474098414,121.55746077172546,0.4257260307413162
C3-C4-C12,120.8196677166274,120.1308403992524,0.6888273173749866
C5-C4-C12,117.96405201857623,118.07485143752655,0.11079941895032164
C4-C5-C6,120.88027222174058,120.87861044467647,0.0016617770641147445
C5-C6-C7,121.04870973676412,121.07213408777203,0.023424351007903965
C6-C7-C8,121.06733277833082,121.36734014782722,0.3000073694963987
C6-C7-C11,118.11941257505461,117.89597798913651,0.22343458591809906
C8-C7-C11,120.77180748124844,120.73625488404478,0.03555259720366166
C7-C8-C9,111.83035999699459,114.69516499644376,2.864804999449177
C8-C9-C10,115.41044899060542,111.66199098356977,3.7484580070356515
N2-C10-C9,113.42061506833333,111.38882586523968,2.031789203093652
C7-C11-C12,120.81516149089663,121.07488480589322,0.2597233149965916
C4-C12-C11,121.15179477295996,120.99092536222432,0.16086941073564276
